start-date,end-date,sport,event,venue,
2019-06-17,2019-06-23,TENNIS,Gerry Weber Open,Halle,
2019-06-17,2019-06-23,TENNIS,Fever Tree Championships,Queen’s,
2019-06-17,2019-06-23,TENNIS,Nature Valley Classic,Birmingham,
2019-06-17,2019-06-23,TENNIS,Mallorca Open,,
2019-06-18,2019-06-18,CRICKET,World Cup: Afghanistan v England,Old Trafford,
2019-06-18,2019-06-22,RACING,Royal Ascot,,
2019-06-18,2019-06-25,CRICKET,England women T20 series v West Indies,,
2019-06-20,2019-06-23,GOLF,BMW International Open,Munich,
2019-06-20,2019-06-23,GOLF,KPMG Women’s PGA Championship,Minnesota,
2019-06-21,2019-06-21,CRICKET,World Cup: England v Sri Lanka,Headingley,
2019-06-21,2019-06-30,BADMINTON,European Championships,Minsk,
2019-06-22,2019-06-23,MOTOR CYCLING,World Superbikes,Misano,
2019-06-23,2019-06-23,MOTOR RACING,French Grand Prix,Le Castellet,
2019-06-23,2019-06-23,RUGBY LEAGUE,State of Origin: Queensland v New South Wales,Perth,
2019-06-23,2019-06-30,TENNIS,Nature Valley International,Eastbourne,
2019-06-25,2019-06-25,CRICKET,World Cup: England v Australia,Lord’s,
2019-06-29,2019-06-29,TRIATHLON,World Series,Montreal,
2019-06-29,2019-06-30,BASEBALL,Boston Red Sox v New York Yankees,London,
2019-06-30,2019-06-30,ATHLETICS,Diamond League,Eugene,
2019-06-30,2019-06-30,CRICKET,World Cup: England v India,Edgbaston,
2019-06-30,2019-06-30,MOTOR RACING,Austrian Grand Prix,Spielberg,
2019-06-30,2019-06-30,MOTOR CYCLING,MotoGP,Assen,
2019-07-01,2019-07-14,TENNIS,The Championships,Wimbledon,
2019-07-02,2019-07-07,CRICKET,England women ODI series v Australia,,
2019-07-03,2019-07-03,CRICKET,World Cup: England v New Zealand,Chester-le-Street,
2019-07-03,2019-07-07,ROWING,Henley Royal Regatta,,
2019-07-04,2019-07-07,GOLF,Irish Open,Clare,
2019-07-04,2019-07-07,GOLF,JM Open,Minnesota,
2019-07-05,2019-07-05,ATHLETICS,Diamond League,Lausanne,
2019-07-06,2019-07-07,MOTOR CYCLING,World Superbikes,Donington Park,
2019-07-06,2019-07-07,TRIATHLON,World Series,Hamburg,
2019-07-06,2019-07-28,CYCLING,Tour de France,,
2019-07-07,2019-07-07,MOTOR CYCLING,MotoGP,Sachsenring,
2019-07-09,2019-07-09,CRICKET,World Cup semi-final,Old Trafford,
2019-07-10,2019-07-10,RUGBY LEAGUE,State of Origin: New South Wales v Queensland,Sydney,
2019-07-11,2019-07-11,CRICKET,World Cup semi-final,Edgbaston,
2019-07-11,2019-07-14,GOLF,Scottish Open,North Berwick,
2019-07-12,2019-07-12,ATHLETICS,Diamond League,Monaco,
2019-07-12,2019-07-21,NETBALL,World Cup,Liverpool,
2019-07-12,2019-07-28,SWIMMING,World Aquatics Championships,Gwangiu,
2019-07-14,2019-07-14,CRICKET,World Cup final,Lord’s,
2019-07-14,2019-07-14,MOTOR RACING,British Grand Prix,Silverstone,
2019-07-15,2019-07-21,TENNIS,Swedish Open,Bastad,
2019-07-15,2019-07-21,TENNIS,Hall of Fame Open,Newport,
2019-07-15,2019-07-21,TENNIS,Croatia Open,Umag,
